市,区,lat,lng
惠州市,惠阳区,31.907812,120.627279
苏州市,张家港市,22.874748,114.474566
威海市,经济技术开发区,23.166129,113.385643
广州市,天河区,30.187588,120.19237
杭州市,滨江区,30.232358,120.180126
杭州市,上城区,38.955462,121.5285
苏州市,工业园区,22.657462,114.347696
济南市,高新区,24.521974,118.144676
厦门市,湖里区,39.821463,98.208045
大连市,甘井子区,36.695101,117.305583
深圳市,龙岗区,31.480333,120.438242
嘉峪关市,市辖区,39.958953,116.521695
无锡市,新区,23.294514,113.331306
杭州市,临安市,30.207684,119.350295
北京市,朝阳区,32.39567,119.486678
广州市,白云区,23.346745,113.767687
扬州市,广陵区,32.791443,120.563769
盐城市,东台市,30.344732,120.158845
广州市,增城市,37.424891,117.981211
惠州市,惠城区,23.163063,114.485898
滨州市,滨城区,39.124809,117.202814
杭州市,拱墅区,30.735622,104.061377
天津市,和平区,36.612688,117.190818
上海市,长宁区,39.809815,116.740079
成都市,金牛区,38.117219,114.453501
石家庄市,新华区,21.518621,109.165344
济南市,历城区,29.816264,106.753799
北京市,通州区,31.672903,119.943432
重庆市,渝北区,36.956593,117.670806
北海市,海城区,31.169152,121.446235
滨州市,邹平县,26.618899,118.87954
常州市,武进区,22.934591,113.4168
上海市,徐汇区,22.689958,114.348833
广州市,番禺区,30.543623,114.433896
宁德市,古田县,30.172894,120.389081
深圳市,坪山新区,31.798511,119.912439
常州市,钟楼区,30.001094,119.846692
武汉市,洪山区,40.221724,116.216456
杭州市,萧山区,31.711627,118.578348
杭州市,富阳市,28.400554,121.421046
成都市,高新区,31.450775,120.646853
马鞍山市,花山区,30.59262,104.038766
苏州市,相城区,42.096104,86.076068
北京市,昌平区,30.649047,113.12623
台州市,温岭市,30.252484,114.367082
巴音郭楞蒙古自治州,焉耆回族自治县,31.213301,121.387616
汕头市,潮南区,23.181395,116.414056
武汉市,江夏区,30.310288,120.186535
天门市,天门市,39.938574,116.421885
杭州市,下城区,32.067099,121.072494
嘉兴市,海宁市,30.442177,120.618727
北京市,东城区,32.835944,119.503407
南通市,通州区,31.669446,120.831486
扬州市,高邮市,35.771934,115.048097
濮阳市,华龙区,23.108712,113.492885
苏州市,常熟市,40.033162,116.239678
广州市,黄埔区,45.666123,126.590255
北京市,海淀区,23.069003,113.893502
黄石市,下陆区,30.195818,114.992987
哈尔滨市,南岗区,23.087629,113.333841
广州市,海珠区,32.330075,119.925744
东莞市,茶山镇,27.829231,120.46834
泰州市,高港区,37.894693,112.402857
温州市,瑞安市,33.912392,111.617014
太原市,万柏林区,38.908291,121.295936
洛阳市,栾川县,31.093538,121.425024
大连市,旅顺口区,30.606302,104.124269
上海市,闵行区,24.905745,118.568455
泉州市,鲤城区,30.56486,114.353622
武汉市,武昌区,33.630876,114.65795
成都市,锦江区,23.093666,113.234423
周口市,川汇区,30.38812,119.998089
杭州市,余杭区,36.284247,120.346326
广州市,荔湾区,31.32643,120.614279
苏州市,姑苏区,30.315832,120.303823
青岛市,城阳区,34.221415,108.93879
杭州市,江干区,30.207036,120.088993
西安市,雁塔区,30.656091,114.332868
杭州市,西湖区,23.103323,112.477794
武汉市,江岸区,36.100058,120.378495
肇庆市,端州区,28.261839,121.016175
青岛市,市北区,31.328937,120.965808
韶关市,南雄市,40.154951,116.728229
温州市,乐清市,31.351869,120.478424
苏州市,昆山市,31.282497,121.491919
北京市,顺义区,39.265088,116.040934
苏州市,虎丘区,31.398623,121.409041
上海市,虹口区,30.685102,103.988429
成都市,青羊区,28.692375,115.910148
上海市,宝山区,29.284103,119.533338
保定市,高碑店市,34.273192,108.915547
南昌市,东湖区,24.267311,115.7533
金华市,兰溪市,36.631636,101.727603
西安市,莲湖区,23.139278,113.287833
西宁市,城西区,26.097871,119.290633
梅州市,兴宁市,36.313395,117.645913
广州市,越秀区,28.657326,115.898948
福州市,鼓楼区,30.69504,104.150032
莱芜市,莱城区,32.553985,120.473927
南昌市,西湖区,36.072517,120.376184
成都市,成华区,39.170621,117.162217
南通市,海安县,32.007969,118.817221
青岛市,市南区,23.399888,116.651794
天津市,红桥区,33.771546,113.208082
汕头市,金平区,23.256272,113.522574
南京市,秦淮区,25.189905,114.386583
平顶山市,新华区,37.457437,116.332912
广州市,萝岗区,20.796584,110.012636
德州市,德城区,31.837425,120.310679
无锡市,江阴市,31.30451,121.535717
湛江市,雷州市,29.314474,121.463624
宁波市,宁海县,24.575089,117.633366
上海市,杨浦区,22.558888,113.950723
漳州市,芗城区,40.658057,109.806834
深圳市,南山区,32.42583,119.458264
包头市,昆都仑区,23.078265,113.041381
扬州市,邗江区,38.821877,115.484784
佛山市,南海区,22.545178,113.42206
保定市,南市区,29.306444,120.067296
中山市,中山市,34.225611,108.892778
金华市,义乌市,22.81845,113.681887
西安市,高新区,39.93428,116.37319
东莞市,虎门镇,39.139605,117.414782
北京市,西城区,31.230895,121.638481
天津市,东丽区,22.795308,113.769983
东莞市,长安镇,28.98454,119.517572
上海市,浦东新区,36.691227,119.196972
金华市,婺城区,31.364338,121.251014
茂名市,信宜市,31.130862,121.091425
潍坊市,奎文区,36.659339,117.101586
上海市,嘉定区,39.059177,117.646286
上海市,青浦区,26.182432,119.122383
济南市,历下区,30.808545,120.088919
天津市,滨海新区,31.790724,117.353913
湖州市,吴兴区,29.272155,117.1862
福州市,闽侯县,22.431974,111.125429
合肥市,包河区,29.966392,121.493299
宁波市,江北区,34.689694,112.407126
景德镇市,昌江区,30.610951,114.266384
武汉市,江汉区,31.288044,121.457769
洛阳市,西工区,26.221752,119.314923
上海市,闸北区,31.129835,112.087311
北京市,丰台区,39.841938,116.25837
福州市,晋安区,24.855409,102.884283
荆门市,东宝区,28.144471,112.996195
昆明市,呈贡区,28.317143,109.770926
长沙市,天心区,32.169424,118.963725
湘西土家族苗族自治州,吉首市,30.5235,105.621528
南京市,栖霞区,39.938867,116.184556
遂宁市,船山区,37.514375,122.094687
北京市,石景山区,22.581934,114.156395
深圳市,罗湖区,29.875392,121.598001
威海市,高区,22.707433,113.930013
宁波市,江东区,36.184511,113.123169
深圳市,宝安区,38.308375,116.893059
长治市,城区,30.396103,112.099857
沧州市,新华区,26.150594,118.253868
三明市,尤溪县,41.372796,120.305061
荆州市,荆州区,32.153953,111.928528
朝阳市,朝阳县,22.551731,114.055593
襄阳市,樊城区,36.584026,116.979435
深圳市,福田区,34.799632,113.587683
济南市,市中区,29.237427,120.380818
郑州市,高新区,31.263743,121.398443
大连市,大连开发区,38.900436,121.677966
金华市,东阳市,31.912901,117.247835
上海市,普陀区,28.705506,115.878905
合肥市,庐阳区,33.187204,107.046167
南昌市,昌北区,29.750168,111.707703
大连市,中山区,41.798305,123.453552
汉中市,汉台区,28.998535,118.813003
芜湖市,无为县,31.222494,117.820052
沈阳市,沈河区,31.021245,121.226791
衢州市,柯城区,35.924382,115.161201
常德市,澧县,30.839642,103.884625
上海市,松江区,35.241712,113.230804
濮阳市,清丰县,27.434436,120.445543
温州市,苍南县,30.716358,120.844535
焦作市,解放区,39.092843,121.828647
成都市,郫县,29.995449,121.61663
嘉兴市,南湖区,29.968789,120.572451
宁波市,镇海区,30.612882,104.04124
烟台市,莱州市,37.190401,120.001344
绍兴市,绍兴县,28.146444,113.020201
成都市,武侯区,39.65279,116.425195
长沙市,雨花区,28.067865,120.565799
北京市,大兴区,29.303231,117.234119
景德镇市,珠山区,28.33639,120.668809
温州市,鹿城区,29.035351,106.269282
温州市,永嘉县,29.996457,121.152779
重庆市,江津区,41.805724,123.35863
宁波市,余姚市,27.224829,120.198307
武汉市,蔡甸区,30.456184,113.972065
宁德市,福鼎市,33.988335,116.728962
沈阳市,铁西区,36.054008,103.851571
西安市,长安区,34.066899,108.874256
淮北市,相山区,28.497223,118.050578
